date,adjClose,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2019-09-13,54.98,-0.23,-0.004030000000000001,-0.403,56.87,57.25,"September 13, 19",56.71,57.1,2742600.0,2742600.0,56.94333
2019-09-12,54.67,0.37,0.00659,0.659,56.55,56.69,"September 12, 19",55.94,56.18,2539900.0,2539900.0,56.39333
2019-09-11,54.63,-0.48,-0.00842,-0.842,56.5,57.26,"September 11, 19",56.43,56.98,2638400.0,2638400.0,56.73
2019-09-10,54.93,-0.26,-0.004560000000000001,-0.456,56.81,57.57,"September 10, 19",56.69,57.07,3057600.0,3057600.0,57.02333
2019-09-09,54.39,0.23,0.0041,0.41000000000000003,56.26,56.31,"September 09, 19",55.93,56.03,2522400.0,2522400.0,56.16667
2019-09-06,53.76,0.05,0.0009000000000000001,0.09,55.6,55.66,"September 06, 19",55.31,55.55,4065900.0,4065900.0,55.52333
2019-09-05,53.89,-0.47000000000000003,-0.008360000000000001,-0.836,55.74,56.38,"September 05, 19",55.73,56.21,3218900.0,3218900.0,55.95
2019-09-04,54.04,0.13,0.00233,0.233,55.89,56.03,"September 04, 19",55.73,55.76,1913100.0,1913100.0,55.88333
2019-09-03,53.44,0.56,0.01024,1.024,55.27,55.29,"September 03, 19",54.56,54.71,3874100.0,3874100.0,55.04
2019-08-30,53.76,-0.16,-0.00287,-0.28700000000000003,55.6,55.84,"August 30, 19",55.25,55.76,2284100.0,2284100.0,55.56333
2019-08-29,53.85,-0.36,-0.00642,-0.642,55.7,56.17,"August 29, 19",55.7,56.06,1962300.0,1962300.0,55.85667
2019-08-28,53.83,0.34,0.0061400000000000005,0.614,55.68,55.88,"August 28, 19",55.15,55.34,2706100.0,2706100.0,55.57
2019-08-27,53.13,-0.68,-0.012220000000000002,-1.222,54.95,55.74,"August 27, 19",54.84,55.63,2298100.0,2298100.0,55.17667
2019-08-26,53.48,-0.56,-0.010020000000000001,-1.002,55.31,55.87,"August 26, 19",55.16,55.87,2240400.0,2240400.0,55.44667
2019-08-23,53.3,-0.55,-0.009880000000000002,-0.988,55.13,56.23,"August 23, 19",54.98,55.68,3428800.0,3428800.0,55.44667
2019-08-22,54.04,-0.37,-0.006580000000000001,-0.658,55.89,56.31,"August 22, 19",55.71,56.26,2652000.0,2652000.0,55.97
2019-08-21,54.37,-0.21,-0.00372,-0.372,56.24,56.45,"August 21, 19",56.05,56.45,1822200.0,1822200.0,56.24667
2019-08-20,53.81,0.06,0.00108,0.108,55.66,55.88,"August 20, 19",55.3,55.6,2987100.0,2987100.0,55.61333
2019-08-19,54.2,-0.22,-0.00391,-0.391,56.06,56.41,"August 19, 19",55.99,56.28,2628000.0,2628000.0,56.15333
2019-08-16,53.72,0.35000000000000003,0.00634,0.634,55.56,55.66,"August 16, 19",54.98,55.21,2703800.0,2703800.0,55.4
2019-08-15,53.26,0.1,0.0018200000000000002,0.182,55.09,55.31,"August 15, 19",54.78,54.99,3445900.0,3445900.0,55.06
2019-08-14,53.6,-0.06,-0.0010600000000000002,-0.106,56.38,56.64,"August 14, 19",56.09,56.44,3670200.0,3670200.0,56.37
2019-08-13,54.86,0.6900000000000001,0.012100000000000001,1.21,57.7,58.14,"August 13, 19",56.89,57.01,2823700.0,2823700.0,57.57667
2019-08-12,54.49,-0.17,-0.0029600000000000004,-0.296,57.32,57.64,"August 12, 19",57.25,57.49,1827400.0,1827400.0,57.40333
